"นักวิจัย","คณะ","ภาควิชา","Scopus ID","Scopus URL","ORCID","Documents","Citations","Cited Docs","h-index"
"ทรงศักดิ์ ภูสีอ่อน","คณะศึกษาศาสตร์","ภาควิชาวิจัยและพัฒนาการศึกษา","35995809200","https://www.scopus.com/authid/detail.uri?authorId=35995809200","","4","5","5","1"

"Title","Year","Type","Source Title","Volume","Issue","Pages","Authors","Citations","DOI","Scopus URL","EID"
"The roles of teachers’ beliefs and instructional practices in students’ mathematical mindset","2025","Journal","Frontiers in Education","10","","","Piyakun A., Phusee-Orn S.","1","10.3389/feduc.2025.1480277","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85217855585&origin=inward","2-s2.0-85217855585"
"The development of the model for utilization of external quality evaluation results for quality improvement of small-sized schools in Northeastern Thailand: An application of organization development research","2011","Journal","European Journal of Social Sciences","21","2","pp. 314–321","Chan-Urai N., Phusee-Orn S., Worakham P.","0","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79957884906&origin=inward","2-s2.0-79957884906"
"The development of the educational risk assessment model for Rajabhat University, Thailand","2011","Journal","European Journal of Social Sciences","19","3","pp. 412–418","Malasri A., Srisa-ard B., Phusee-Orn S.","0","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79952131149&origin=inward","2-s2.0-79952131149"
"A confirmatory factor analysis of promotion of enjoyment of learning in high school students","2009","Journal","Social Sciences","4","6","pp. 598–603","Phusee-Orn S., Martin F.","0","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77951663931&origin=inward","2-s2.0-77951663931"
