"นักวิจัย","คณะ","ภาควิชา","Scopus ID","Scopus URL","ORCID","Documents","Citations","Cited Docs","h-index"
"วรรณพร สำราญพัฒน์ เบรดี","คณะศึกษาศาสตร์","ภาควิชาวิทยาศาสตร์สุขภาพและการกีฬา","57224477013","https://www.scopus.com/authid/detail.uri?authorId=57224477013","0000-0001-7064-8724","7","15","14","3"

"Title","Year","Type","Source Title","Volume","Issue","Pages","Authors","Citations","DOI","Scopus URL","EID"
"Psychological characteristics of pre-match competitive Tai Chi athletes","2025","Journal","Journal of Human Sport and Exercise","20","3","pp. 1076–1085","Su R., Brady W.S.","0","10.55860/9c7hnk46","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105007635432&origin=inward","2-s2.0-105007635432"
"Upper body posture changes during sitting in female office workers with lower crossed syndrome","2025","Journal","Hong Kong Physiotherapy Journal","45","1","pp. 35–43","Puagprakong P., Kanjanasilanont A., Brady W.S., Sornkaew K.","1","10.1142/S1013702525500039","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105001088647&origin=inward","2-s2.0-105001088647"
"Considering the Impact of a 12-Week Intervention Program on Behavioral Intentions and Key Health Related Constructs in Adolescent Basketball Players","2025","Journal","Physical Education Theory and Methodology","25","2","pp. 374–381","Zhao J., Brady W.S.","0","10.17309/tmfv.2025.2.19","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105007549450&origin=inward","2-s2.0-105007549450"
"The Effect of Mindful Movement on Pain Intensity, Leg Muscle Fitness and Psychological Features in University Athletes with Chronic Patellofemoral Pain - A Randomized Controlled Trial Pilot Study","2025","Journal","Asean Journal of Rehabilitation Medicine","35","1","pp. 8–9","Brady W.S., Boonprakob Y.","0","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105045550162&origin=inward","2-s2.0-105045550162"
"The Effects of Lower Crossed Syndrome on Upper Body Posture during Sitting in Female Office Workers","2022","Journal","Muscles Ligaments and Tendons Journal","12","4","pp. 621–627","Puagprakong P., Kanjanasilanont A., Sornkaew K., Brady W.S.","2","10.32098/mltj.04.2022.19","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85143486184&origin=inward","2-s2.0-85143486184"
"Thai version of the Survey Instrument for Natural History, Aetiology and Prevalence of Patellofemoral Pain: Cross-cultural validation and test-retest reliability","2021","Journal","Asia Pacific Journal of Sports Medicine Arthroscopy Rehabilitation and Technology","26","","pp. 1–7","Brady W.S., Boonprakob Y., Kwangsawad T., Buahong A., Asawaniwed P., Khachornsaengcharoen N., Callaghan M., Selfe J.","4","10.1016/j.asmart.2021.05.005","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85107689503&origin=inward","2-s2.0-85107689503"
"Prevalence of chronic patellofemoral pain in thai university athletes and correlation between pain intensity, psychological features, and physical fitness of leg muscles","2021","Journal","Journal of Physical Education and Sport","21","","pp. 2036–2048","Brady W.S., Boonprakob Y.","1","10.7752/jpes.2021.s3260","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85112611738&origin=inward","2-s2.0-85112611738"
