"นักวิจัย","คณะ","ภาควิชา","Scopus ID","Scopus URL","ORCID","Documents","Citations","Cited Docs","h-index"
"ภมรพรรณ์ ยุระยาตร์","คณะศึกษาศาสตร์","ภาควิชาจิตวิทยาการศึกษาและการแนะแนว","58175451400","https://www.scopus.com/authid/detail.uri?authorId=58175451400","0000-0002-5773-4756 ","7","20","20","2"

"Title","Year","Type","Source Title","Volume","Issue","Pages","Authors","Citations","DOI","Scopus URL","EID"
"Online counseling competences among Thai secondary school advisory teachers: a confirmatory factor analysis","2026","Journal","International Journal of Evaluation and Research in Education","15","4","pp. 2729–2740","Choompunuch B., Lebkhao D., Suk-Erb W., Yurayat P.","0","10.11591/ijere.v15i4.34738","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105047986408&origin=inward","2-s2.0-105047986408"
"Building Mental Health Resilience in Schools: A Quasi-experimental Study of Digital Counseling Training for Secondary Teachers in Thailand","2026","Journal","Iranian Journal of Psychiatry and Behavioral Sciences","20","1","","Choompunuch B., Suk-Erb W., Wuttaphan N., Yurayat P.","0","10.5812/ijpbs-166285","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105045186638&origin=inward","2-s2.0-105045186638"
"Mapping the landscape of mindfulness research in educational workplaces: a bibliometric and conceptual analysis (2020–2024)","2026","Journal","Frontiers in Education","11","","","Chano J., Mohamad B., Noirid S., Yurayat P., Nonsuwan A., Thanapatmeemanee H., Tuaypar M., Leamthaisong N., Chookhampaeng C., Sirisittanapak S., Wu C.C.","0","10.3389/feduc.2026.1765432","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105031481481&origin=inward","2-s2.0-105031481481"
"Gender differences in PERMA well-being among University students: a network analysis","2026","Journal","International Journal of Adolescence and Youth","31","1","","Yurayat P., Ahmadi Ghomroudi P., Jornkokgoud K.","0","10.1080/02673843.2025.2610644","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105026284749&origin=inward","2-s2.0-105026284749"
"The PERMA well-being scale assessment in undergraduate students: confirmatory factor analysis and network analysis","2025","Journal","International Journal of Evaluation and Research in Education","14","5","pp. 3824–3837","Yurayat P., Choomphunuch B., Suk-Erb W., Lebkhao D., Jornkokgoud K.","0","10.11591/ijere.v14i5.32369","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105017331823&origin=inward","2-s2.0-105017331823"
"Factors Influencing Acceptance and Use of Online Counseling Technology among Thai Psychologists and Mental Health Counsellors","2024","Journal","Islamic Guidance and Counseling Journal","7","1","","Srijundaree P., Yurayat P., Nipanan P.","3","10.25217/0020247451200","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85190862518&origin=inward","2-s2.0-85190862518"
"University Student Counselees’ Attitudes and Experiences Towards Online Counseling During the Covid-19 Pandemic: A Mixed Methods Study","2023","Journal","Journal of Higher Education Theory and Practice","23","4","pp. 222–238","Yurayat P., Tuklang S.","7","10.33423/jhetp.v23i4.5902","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85152079071&origin=inward","2-s2.0-85152079071"
