"นักวิจัย","คณะ","ภาควิชา","Scopus ID","Scopus URL","ORCID","Documents","Citations","Cited Docs","h-index"
"วิทยา วรพันธุ์","คณะศึกษาศาสตร์","ภาควิชาหลักสูตรและการสอน","58643441800","https://www.scopus.com/authid/detail.uri?authorId=58643441800","0000-0002-2122-9432","9","19","19","3"

"Title","Year","Type","Source Title","Volume","Issue","Pages","Authors","Citations","DOI","Scopus URL","EID"
"Enhancing Thai language teachers' learning management skills through a TPACK, PBL, CBL, and CLIL model","2025","Journal","International Journal of Advanced and Applied Sciences","12","1","pp. 256–262","Intasena A., Worapun W., Poonputta A.","0","10.21833/ijaas.2025.01.024","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85217054804&origin=inward","2-s2.0-85217054804"
"A model of developing mathematics teachers to enhance the use of TPACK, PBL, CBL, and CLIL integrated learning","2025","Journal","International Journal of Innovative Research and Scientific Studies","8","3","pp. 3101–3109","Poonputta A., Intasena A., Worapun W.","0","10.53894/ijirss.v8i3.7170","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105006688525&origin=inward","2-s2.0-105006688525"
"Integrating 5E inquiry-based learning and STEM education to enhance grade 5 students' science process skills and achievement in friction","2024","Journal","International Journal of Advanced and Applied Sciences","11","12","pp. 207–214","Kaewmanee T., Srisenpila A., Worapun W.","0","10.21833/ijaas.2024.12.023","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85213249735&origin=inward","2-s2.0-85213249735"
"An Innovative Instructional Model to Foster Creative Thinking in Primary School Students in Thailand","2024","Journal","Journal of Curriculum and Teaching","13","4","pp. 138–147","Worapun W., Nuangchalerm P.","2","10.5430/jct.v13n4p138","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85201539102&origin=inward","2-s2.0-85201539102"
"Enhancing analytical thinking in grade 8 science education: Integrating 5E inquiry-based and 5W1H techniques","2024","Journal","International Journal of Advanced and Applied Sciences","11","5","pp. 62–69","Udonsathian T., Worapun W.","2","10.21833/ijaas.2024.05.007","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85196879292&origin=inward","2-s2.0-85196879292"
"Bridging the Educational Gap: Guidelines for Thai Non-Credentialed Teachers' Learning Management","2024","Journal","Journal of Curriculum and Teaching","13","1","pp. 170–179","Intasena A., Worapun W., Poonputta A.","0","10.5430/jct.v13n1p170","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85185803132&origin=inward","2-s2.0-85185803132"
"Exploring the Efficacy of HyFlex Learning for Enhancing Reading Comprehension Skills of Secondary School Students: A Research and Development Study","2024","Journal","International Journal of Learning Teaching and Educational Research","23","1","pp. 24–38","Intasena A., Worapun W.","3","10.26803/ijlter.23.1.2","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85184024499&origin=inward","2-s2.0-85184024499"
"Optimizing the quality of Thai education: A comprehensive examination of the whole school approach","2024","Journal","International Journal of Advanced and Applied Sciences","11","1","pp. 169–177","Khamdit S., Worapun W.","0","10.21833/ijaas.2024.01.020","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85188112089&origin=inward","2-s2.0-85188112089"
"Enhancing Thai students' core learning outcomes: An analysis of the teacher school quality program as an effective inter-organizational collaboration","2023","Journal","International Journal of Advanced and Applied Sciences","10","8","pp. 191–196","Khamdit S., Worapun W.","1","10.21833/ijaas.2023.08.022","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85173939466&origin=inward","2-s2.0-85173939466"
