"นักวิจัย","คณะ","ภาควิชา","Scopus ID","Scopus URL","ORCID","Documents","Citations","Cited Docs","h-index"
"รังสรรค์ โฉมยา","คณะศึกษาศาสตร์","ภาควิชาจิตวิทยาการศึกษาและการแนะแนว","56674691400","https://www.scopus.com/authid/detail.uri?authorId=56674691400","","5","5","5","1"

"Title","Year","Type","Source Title","Volume","Issue","Pages","Authors","Citations","DOI","Scopus URL","EID"
"Development of teachers’ teaching assessment form according to visible learning theory","2025","Journal","Kasetsart Journal of Social Sciences","46","2","","Chomeya R., Poonputta A., Intasena A., Piyakun A.","0","10.34044/j.kjss.2025.46.2.18","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105014283900&origin=inward","2-s2.0-105014283900"
"Quality variations of psychometrics for cross-cultural research","2022","Journal","International Journal of Evaluation and Research in Education","11","2","pp. 681–686","Chomeya R., Piyakun A.","0","10.11591/ijere.v11i2.22678","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85133207053&origin=inward","2-s2.0-85133207053"
"Students’ self-directed learning behavior: Cross cultural research (Thailand and Australia)","2022","Journal","Kasetsart Journal of Social Sciences","43","2","pp. 279–284","Chomeya R., Phansri G., Piyakun A.","3","10.34044/j.kjss.2022.43.2.03","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85132677700&origin=inward","2-s2.0-85132677700"
"Confirmatory Factor Analysis Of Entrepreneurship For Undergraduate Students","2021","Journal","Review of International Geographical Education Online","11","8","pp. 1858–1865","Rapa P., Chomeya R.","0","10.48047/rigeo.11.08.161","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85118627299&origin=inward","2-s2.0-85118627299"
"Development of the 5 minds for 21st century in nurse students through psychological group training","2015","Journal","Asian Social Science","11","15","pp. 146–150","Wuttisartkul Y., Chomeya R., Kittipichai W.","0","10.5539/ass.v11n15p146","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84930635763&origin=inward","2-s2.0-84930635763"
