"นักวิจัย","คณะ","ภาควิชา","Scopus ID","Scopus URL","ORCID","Documents","Citations","Cited Docs","h-index"
"ธรินธร นามวรรณ","คณะศึกษาศาสตร์","ภาควิชาการบริหารการศึกษา","57216756490","https://www.scopus.com/authid/detail.uri?authorId=57216756490","","2","1","1","1"

"Title","Year","Type","Source Title","Volume","Issue","Pages","Authors","Citations","DOI","Scopus URL","EID"
"MODEL OF SUPERVISION TO SUPPORT THEMANAGEMENT OF STEM LEARNING FOR PRIMARY SCHOOL TEACHERS","2023","Journal","International Online Journal of Education and Teaching","10","4","pp. 2313–2321","Chanasri K., Namwan T.","1","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105033119415&origin=inward","2-s2.0-105033119415"
"Supervision model for enhancing english language learning management competency of private school teachers","2020","Journal","International Journal of Innovation Creativity and Change","12","11","pp. 322–343","Daensena P., Namwan T.","0","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85084444917&origin=inward","2-s2.0-85084444917"
