"นักวิจัย","คณะ","ภาควิชา","Scopus ID","Scopus URL","ORCID","Documents","Citations","Cited Docs","h-index"
"สาวิตรี ราญมีชัย","คณะศึกษาศาสตร์","ภาควิชาวิจัยและพัฒนาการศึกษา","57142531300","https://www.scopus.com/authid/detail.uri?authorId=57142531300","","5","3","3","1"

"Title","Year","Type","Source Title","Volume","Issue","Pages","Authors","Citations","DOI","Scopus URL","EID"
"Bridging knowledge and community: Innovative community-based learning to strengthen mathematic pre-service teachers’ problem-solving competency","2025","Journal","Eurasia Journal of Mathematics Science and Technology Education","21","10","","Dankunprasert S., Cojorn K., Sonsupap K., Choompunuch B., Ranmechai S., Nonsuwan A., Tongron Y.","0","10.29333/ejmste/17179","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105017459907&origin=inward","2-s2.0-105017459907"
"Problem-Based Learning Approach for Developing Learning Management Skills in Undergraduate Mathematics Education","2023","Journal","International Journal of Learning Teaching and Educational Research","22","9","pp. 296–309","Ranmechai S., Poonputta A.","1","10.26803/ijlter.22.9.16","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85174034287&origin=inward","2-s2.0-85174034287"
"Enhancing Measurement Education in Schools: A Study on the Efficacy of STAD (Student Teams Achievement Division) in Undergraduate Mathematics Education","2023","Journal","Journal of Curriculum and Teaching","12","6","pp. 330–337","Ranmechai S., Poonputta A.","0","10.5430/jct.v12n6p330","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85179466091&origin=inward","2-s2.0-85179466091"
"On list chromatic number of L(2, 0)-labeling of a complete bipartite graph K2,n","2016","Journal","Far East Journal of Mathematical Sciences","99","10","pp. 1571–1582","Ranmechai S., Nakprasit K.","0","10.17654/MS099101571","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84973904914&origin=inward","2-s2.0-84973904914"
"Flexible coloring of graphs","2016","Journal","Far East Journal of Mathematical Sciences","99","6","pp. 921–943","Ranmechai S., Nakprasit K.","0","10.17654/MS099060921","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84959181935&origin=inward","2-s2.0-84959181935"
