"นักวิจัย","คณะ","ภาควิชา","Scopus ID","Scopus URL","ORCID","Documents","Citations","Cited Docs","h-index"
"บวรพจน์ ชมภูนุช","คณะศึกษาศาสตร์","ภาควิชาจิตวิทยาการศึกษาและการแนะแนว","57214443144","https://www.scopus.com/authid/detail.uri?authorId=57214443144","0000-0002-4309-9608","24","373","315","10"

"Title","Year","Type","Source Title","Volume","Issue","Pages","Authors","Citations","DOI","Scopus URL","EID"
"Self-Compassion Around the World: Measurement Invariance of the Short Form of the Self-Compassion Scale (SCS-SF) Across 65 Nations, 40 Languages, Gender Identities, and Age Groups","2025","Journal","Mindfulness","16","6","pp. 1569–1596","Swami V., Tran U.S., Voracek M., Aavik T., Ranjbar H.A., Adebayo S.O., Afhami R., Ahmed O., Aimé A., Akel M., Al Halbusi H., Alexias G., Ali K.F., Alp-Dal N., Alsalhani A.B., Álvarez-Solas S., Amaral A.C.S., Andrianto S., Aspden T., Argyrides M., Aruta J.J.B.R., Atkin S., Ayandele O., Baceviciene M., Bahbouh R., Ballesio A., Barron D., Bellard A., Bender S.S., Beydaǧ K.D., Birovljević G., Blackburn M.È., Borja-Alvarez T., Borowiec J., Bozogáňová M., Bratland-Sanda S., Browning M.H.E.M., Brytek-Matera A., Burakova M., Çakır-Koçak Y., Camacho P., Camilleri V.E., Cazzato V., Cerea S., Chaiwutikornwanich A., Chaleeraktrakoon T., Chambers T., Chen Q.W., Chen X., Chien C.L., Chobthamkit P., Choompunuch B., Compte E.J., Corrigan J., Cosmas G., Cowden R.G., Czepczor-Bernat K., Czub M., da Silva W.R., Dadfar M., Dalley S.E., Dany L., Datu J.A.D., de Carvalho P.H.B., de Holanda Coelho G.L., De Jesus A.O.S., Debbabi S.H., Dhakal S., Di Bernardo F., Dimitrova D.D., Dion J., Dixson B., Donofrio S.M., Drysch M., Du H., Dzhambov A.M., El-Jor C., Enea V., Eskin M., Farbod F., Farrugia L., Fian L., Fisher M.L., Folwarczny M., Frederick D.A., Fuller-Tyszkiewicz M., Furnham A., García A.A., Geller S., Ghisi M., Ghorbani A., Martinez M.A.G., Gradidge S., Graf S., Grano C., Gyene G., Hallit S., Hamdan M., Handelzalts J.E., Hanel P.H.P.","2","10.1007/s12671-025-02560-5","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105003258157&origin=inward","2-s2.0-105003258157"
"Overcoming low status or maintaining high status? A multinational examination of the association between socioeconomic status and honour","2025","Journal","British Journal of Social Psychology","64","1","","Sánchez-Rodríguez Á., O'Dea C., Uskul A.K., Kirchner-Häusler A., Vignoles V., Chobthamkit P., Achmad R.A., Andrianto S., Kristanto A.A., Ardi R., Lesmana C.B.J., Castillo V.A., Chaleeraktrakoon T., Zhi A.C.H., Choompunuch B., Cross S.E., Nguyen S.D., Fernandez E.F., Purba F.D., Reyes M.E.S., Yalçın M.G., Siswadi A.G.P., Harb C., Hashim I.H.M., Husnu S., Hutapea B., Le Hoang T.H., Ishii K., Ismail R., Ito K., Suryani L.K., Kaewyodthiwat T., Kafetsios K., Karamaouna P., Kateri E., Khan A., Khieowan N., Lufityanto G., Macapagal M.E.J., Marappan D.a., Matamoros-Lima J., Miniesy R., Yusoff A.M., Na J., Özkan Z., Pagliaro S., Psaltis C., Rabie D., Reinhart M., Ridfah A., Rodriguez-Bailón R., Ishak M.S., Teresi M., Tengco-Pacquing M.C., Thongpibul K., Tri M.T.T., Zwagery R.V., Wisayanti S., Hoon C.Y., Uchida Y.","0","10.1111/bjso.12854","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85216124630&origin=inward","2-s2.0-85216124630"
"Life satisfaction around the world: Measurement invariance of the Satisfaction With Life Scale (SWLS) across 65 nations, 40 languages, gender identities, and age groups","2025","Journal","Plos One","20","1 January","","Swami V., Stieger S., Voracek M., Aavik T., Ranjbar H.A., Adebayo S.O., Afhami R., Ahmed O., Aimé A., Akel M., Halbusi H.A., Alexias G., Ali K.F., Alp-Dal N., Alsalhani A.B., Álvarez-Solas S., Amaral A.C.S., Andrianto S., Aspden T., Argyrides M., Aruta J.J.B.R., Atkin S., Ayandele O., Baceviciene M., Bahbouh R., Ballesio A., Barron D., Bellard A., Bender S.S., Beydaǧ K.D., Birovljević G., Blackburn M.È., Borja-Alvarez T., Borowiec J., Bozogáňová M., Bratland-Sanda S., Browning M.H.E.M., Brytek-Matera A., Burakova M., Çakır-Koçak Y., Camacho P., Camilleri V.E., Cazzato V., Cerea S., Chaiwutikornwanich A., Chaleeraktrakoon T., Chambers T., Chen Q.W., Chen X., Chien C.L., Chobthamkit P., Choompunuch B., Compte E.J., Corrigan J., Cosmas G., Cowden R.G., Czepczor-Bernat K., Czub M., da Silva W.R., Dadfar M., Dalley S.E., Dany L., Datu J.A.D., de Carvalho P.H.B., de Holanda Coelho G.L., De Jesus A.O.S., Debbabi S.H., Dhakal S., Di Bernardo F., Dimitrova D.D., Dion J., Dixson B., Donofrio S.M., Drysch M., Du H., Dzhambov A.M., El-Jor C., Enea V., Eskin M., Farbod F., Farrugia L., Fian L., Fisher M.L., Folwarczny M., Frederick D.A., Fuller-Tyszkiewicz M., Furnham A., García A.A., Geller S., Ghisi M., Ghorbani A., Martinez M.A.G., Gradidge S., Graf S., Grano C., Gyene G., Hallit S., Hamdan M., Handelzalts J.E., Hanel P.H.P.","1","10.1371/journal.pone.0313107","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85215985374&origin=inward","2-s2.0-85215985374"
"Bridging knowledge and community: Innovative community-based learning to strengthen mathematic pre-service teachers’ problem-solving competency","2025","Journal","Eurasia Journal of Mathematics Science and Technology Education","21","10","","Dankunprasert S., Cojorn K., Sonsupap K., Choompunuch B., Ranmechai S., Nonsuwan A., Tongron Y.","0","10.29333/ejmste/17179","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105017459907&origin=inward","2-s2.0-105017459907"
"Exposure and connectedness to natural environments: An examination of the measurement invariance of the Nature Exposure Scale (NES) and Connectedness to Nature Scale (CNS) across 65 nations, 40 languages, gender identities, and age groups","2024","Journal","Journal of Environmental Psychology","99","","","Swami V., White M.P., Voracek M., Tran U.S., Aavik T., Ranjbar H.A., Adebayo S.O., Afhami R., Ahmed O., Aimé A., Akel M., Al Halbusi H., Alexias G., Ali K.F., Alp-Dal N., Alsalhani A.B., Álvarez-Solas S., Soares Amaral A.C., Andrianto S., Aspden T., Argyrides M., Aruta J.J.B.R., Atkin S., Ayandele O., Baceviciene M., Bahbouh R., Ballesio A., Barron D., Bellard A., Bender S.S., Beydaǧ K.D., Birovljević G., Blackburn M.È., Borja-Alvarez T., Borowiec J., Bozogáňová M., Bratland-Sanda S., Browning M.H.E.M., Brytek-Matera A., Burakova M., Çakır-Koçak Y., Camacho P., Camilleri V.E., Cazzato V., Cerea S., Chaiwutikornwanich A., Chaleeraktrakoon T., Chambers T., Chen Q.W., Chen X., Chien C.L., Chobthamkit P., Choompunuch B., Compte E.J., Corrigan J., Cosmas G., Cowden R.G., Czepczor-Bernat K., Czub M., Roberto da Silva W., Dadfar M., Dalley S.E., Dany L., Datu J.A.D., Berbert de Carvalho P.H., Lins de Holanda Coelho G., De Jesus A.O.S., Debbabi S.H., Dhakal S., Di Bernardo F., Dimitrova D.D., Dion J., Dixson B., Donofrio S.M., Drysch M., Du H., Dzhambov A.M., El-Jor C., Enea V., Eskin M., Farbod F., Farrugia L., Fian L., Fisher M.L., Folwarczny M., Frederick D.A., Fuller-Tyszkiewicz M., Furnham A., García A.A., Geller S., Ghisi M., Ghorbani A., Gomez Martinez M.A., Gradidge S., Graf S., Grano C., Gyene G., Hallit S., Hamdan M., Handelzalts J.E.","11","10.1016/j.jenvp.2024.102432","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85204224528&origin=inward","2-s2.0-85204224528"
"Exploring the Components of Multicultural Competence among Pre-Service Teacher Students in Thailand: An Approach Utilizing Confirmatory Factor Analysis","2024","Journal","European Journal of Investigation in Health Psychology and Education","14","9","pp. 2476–2490","Choompunuch B., Kamdee K., Taksino P.","3","10.3390/ejihpe14090164","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85205061570&origin=inward","2-s2.0-85205061570"
"THE DEVELOPMENT OF PALLIATIVE CARE INDICATORS FOR PATIENTS WITH COVID-19 IN THAILAND UTILIZING DELPHI TECHNIQUE","2024","Journal","Malaysian Journal of Public Health Medicine","24","2","pp. 47–58","Posai V., Kaewmanee C., Dekyong E., Makkabphalanon K., Choompunuch B., Suksatan W.","0","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85204738700&origin=inward","2-s2.0-85204738700"
"Body appreciation around the world: Measurement invariance of the Body Appreciation Scale-2 (BAS-2) across 65 nations, 40 languages, gender identities, and age","2023","Journal","Body Image","46","","pp. 449–466","Swami V., Tran U.S., Stieger S., Aavik T., Ranjbar H.A., Adebayo S.O., Afhami R., Ahmed O., Aimé A., Akel M., Halbusi H.A., Alexias G., Ali K.F., Alp-Dal N., Alsalhani A.B., Álvares-Solas S., Amaral A.C.S., Andrianto S., Aspden T., Argyrides M., Aruta J.J.B.R., Atkin S., Ayandele O., Baceviciene M., Bahbouh R., Ballesio A., Barron D., Bellard A., Bender S.S., Beydağ K.D., Birovljević G., Blackburn M.È., Borja-Alvarez T., Borowiec J., Bozogáňová M., Bratland-Sanda S., Browning M.H.E.M., Brytek-Matera A., Burakova M., Çakır-Koçak Y., Camacho P., Camilleri V.E., Cazzato V., Cerea S., Chaiwutikornwanich A., Chaleeraktrakoon T., Chambers T., Chen Q.W., Chen X., Chien C.L., Chobthamkit P., Choompunuch B., Compte E.J., Corrigan J., Cosmas G., Cowden R.G., Czepczor-Bernat K., Czub M., da Silva W.R., Dadfar M., Dalley S.E., Dany L., Datu J.A.D., Berbert de Carvalho P.H., Coelho G.L.d.H., De Jesus A.O.S., Debbabi S.H., Dhakal S., Di Bernardo F., Dimitrova D.D., Dion J., Dixson B., Donofrio S.M., Drysch M., Du H., Dzhambov A.M., El-Jor C., Enea V., Eskin M., Farbod F., Farrugia L., Fian L., Fisher M.L., Folwarczny M., Frederick D.A., Fuller-Tyszkiewicz M., Furnham A., García A.A., Geller S., Ghisi M., Ghorbani A., Martinez M.A.G., Gradidge S., Graf S., Grano C., Gyene G., Hallit S., Hamdan M., Handelzalts J.E., Hanel P.H.P.","53","10.1016/j.bodyim.2023.07.010","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85170109975&origin=inward","2-s2.0-85170109975"
"A Development of Counseling Competency for Academic Advisors in Higher Education","2022","Journal","Sustainability Switzerland","14","16","","Choompunuch B., Lebkhao D., Suksatan W., Suk-erb W.","1","10.3390/su14169907","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85137668370&origin=inward","2-s2.0-85137668370"
"Association between Health Literacy, Self-care Behavior, and Blood Sugar Level among Older Patients with Type 2 Diabetes in Rural Thai Communities","2021","Journal","Annals of Geriatric Medicine and Research","25","4","pp. 318–323","Suksatan W., Prabsangob K., Choompunuch B.","9","10.4235/agmr.21.0117","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85126747622&origin=inward","2-s2.0-85126747622"
"Assessment of the health-promoting behaviors of hospitalized patients with non-communicable diseases during the second wave of COVID-19","2021","Journal","Journal of Multidisciplinary Healthcare","14","","pp. 2185–2194","Posai V., Suksatan W., Choompunuch B., Koontalay A., Ounprasertsuk J., Sadang J.M.","16","10.2147/JMDH.S329344","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85113304049&origin=inward","2-s2.0-85113304049"
"Predictors of health behaviors among undergraduate students during the COVID-19 pandemic: A cross-sectional predictive study","2021","Journal","Journal of Multidisciplinary Healthcare","14","","pp. 727–734","Suksatan W., Choompunuch B., Koontalay A., Posai V., Abusafia A.H.","19","10.2147/JMDH.S306718","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85103082118&origin=inward","2-s2.0-85103082118"
"Stress, adversity quotient, and health behaviors of undergraduate students in a Thai university during COVID-19 outbreak","2021","Journal","Belitung Nursing Journal","7","1","pp. 1–7","Choompunuch B., Suksatan W., Sonsroem J., Kutawan S., In-Udom A.","36","10.33546/bnj.1276","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85103108684&origin=inward","2-s2.0-85103108684"
"The Breast Size Satisfaction Survey (BSSS): Breast size dissatisfaction and its antecedents and outcomes in women from 40 nations","2020","Journal","Body Image","32","","pp. 199–217","Swami V., Tran U.S., Barron D., Afhami R., Aimé A., Almenara C.A., Alp Dal N., Amaral A.C.S., Andrianto S., Anjum G., Argyrides M., Atari M., Aziz M., Banai B., Borowiec J., Brewis A., Cakir Kocak Y., Campos J.A.D.B., Carmona C., Chaleeraktrakoon T., Chen H., Chobthamkit P., Choompunuch B., Constantinos T., Crumlish A., Cruz J.E., Dalley S.E., Damayanti D., Dare J., Donofrio S.M., Draksler A., Escasa-Dorne M., Fernandez E.F., Ferreira M.E.C., Frederick D.A., García A.A., Geller S., George A., Ghazieh L., Goian C., Gorman C., Grano C., Handelzalts J.E., Horsburgh H., Jackson T., Javela Delgado L.G.J., Jović M., Jović M., Kantanista A., Kertechian S.K., Kessels L., Król-Zielińska M., Kuan G., Kueh Y.C., Kumar S., Kvalem I.L., Lombardo C., Luis López Almada E., Maïano C., Manjary M., Massar K., Matera C., Mereiles J.F.F., Meskó N., Namatame H., Nerini A., Neto F., Neto J., Neves A.N., Ng S.K., Nithiya D.R., Omar S.S., Omori M., Panasiti M.S., Pavela Banai I., Pila E., Pokrajac-Bulian A., Postuvan V., Prichard I., Razmus M., Sabiston C.M., Sahlan R.N., Sarfo J.O., Sawamiya Y., Stieger S., SturtzSreetharan C., Tee E., ten Hoor G.A., Thongpibul K., Tipandjan A., Tudorel O., Tylka T., Vally Z., Vargas-Nieto J.C., Vega L.D., Vidal-Mollón J., Vintila M., Williams D., Wutich A., Yamamiya Y.","47","10.1016/j.bodyim.2020.01.006","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85078761482&origin=inward","2-s2.0-85078761482"
