"นักวิจัย","คณะ","ภาควิชา","Scopus ID","Scopus URL","ORCID","Documents","Citations","Cited Docs","h-index"
"ประสาท เนืองเฉลิม","คณะศึกษาศาสตร์","ภาควิชาหลักสูตรและการสอน","35099135800","https://www.scopus.com/authid/detail.uri?authorId=35099135800","0000-0002-5361-0377","66","531","450","14"

"Title","Year","Type","Source Title","Volume","Issue","Pages","Authors","Citations","DOI","Scopus URL","EID"
"Analysis of Pedagogical Applications and Awareness Issues of Using Chatbots in The Science Classroom","2024","Conference Proceeding","E3s Web of Conferences","482","","","Nuangchalerm P., Saregar A.","1","10.1051/e3sconf/202448205013","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85185378276&origin=inward","2-s2.0-85185378276"
"A Model Framework for Enhancing Twenty-First Century Competencies in Primary School Teachers within Northeastern Thailand's SubArea","2024","Journal","International Journal of Learning Teaching and Educational Research","23","1","pp. 98–113","Poonputta A., Nuangchalerm P.","4","10.26803/ijlter.23.1.6","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85184005626&origin=inward","2-s2.0-85184005626"
"Framing citizen science and sustainable education development","2024","Journal","Multidisciplinary Reviews","7","2","","Nuangchalerm P., Prachagool V., Nuangchalerm A., Chimphali K., Islami R.A.Z.E.","3","10.31893/multirev.2024028","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85181920047&origin=inward","2-s2.0-85181920047"
"The Desirable Characteristics of Industrial Teacher Education: A Delphi Study","2024","Journal","Journal of Higher Education Theory and Practice","24","1","pp. 229–242","Arunchai T., Promtang P., Yimyam P., Boonputtikon C., Nuangchalerm P.","0","10.33423/jhetp.v24i1.6772","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85184441024&origin=inward","2-s2.0-85184441024"
"AI Integration in Biology Education: Comparative Insights into Perceived Benefits and TPACK among South African and Indonesian Pre-service Teachers","2024","Journal","Asia Pacific Science Education","10","2","pp. 381–410","Mnguni L., Nuangchalerm P., El Islami R.A.Z., Sibanda D., Ramulumo M., Sari I.J.","0","10.1163/23641177-bja10086","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85213451592&origin=inward","2-s2.0-85213451592"
"THE VALIDATION OF LITERATE COMPETENCY MEASUREMENT MODEL IN ELEMENETARY STUDENTS: AN APPLICATION OF SECOND ORDER CONFIRMATORY FACTOR ANALYSIS","2023","Journal","International Online Journal of Education and Teaching","10","1","pp. 445–454","Prommaboon T., Boongthong S., Raungsit W., Homjan W., Nuangchalerm P.","0","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105033279441&origin=inward","2-s2.0-105033279441"
"Developing a training program to enhance conservation awareness and attitudes among Thai hotel cooks: A comparative study","2023","Journal","International Journal of Advanced and Applied Sciences","10","12","pp. 42–49","Songpranam P., Punfujinda C., Chumkaew K., Nuangchalerm P.","0","10.21833/ijaas.2023.12.005","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85184615398&origin=inward","2-s2.0-85184615398"
"Multiple intelligence-based differential learning on critical thinking skills of higher education students","2023","Journal","International Journal of Advanced and Applied Sciences","10","8","pp. 132–139","Alhamuddin A., Inten D.N., Mulyani D., Suganda A.D., Juhji J., Prachagool V., Nuangchalerm P.","3","10.21833/ijaas.2023.08.015","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85173059255&origin=inward","2-s2.0-85173059255"
"Brain-based learning management in primary students: Language literacy studies","2023","Journal","International Journal of Advanced and Applied Sciences","10","6","pp. 107–112","Intasena A., Nuangchalerm P., Srimunta T.","1","10.21833/ijaas.2023.06.013","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85166435509&origin=inward","2-s2.0-85166435509"
"Competencies of New Teachers in Learning Management in Teacher Production for Local Development","2023","Journal","Journal of Curriculum and Teaching","12","3","pp. 91–99","Polyiem T., Nuangchalerm P.","2","10.5430/JCT.V12N3P91","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85161186147&origin=inward","2-s2.0-85161186147"
