"นักวิจัย","คณะ","ภาควิชา","Scopus ID","Scopus URL","ORCID","Documents","Citations","Cited Docs","h-index"
"ณัฐธิดา ตาชัยภูมิ","คณะศึกษาศาสตร์","ภาควิชาหลักสูตรและการสอน","57884494800","https://www.scopus.com/authid/detail.uri?authorId=57884494800","","3","4","4","2"

"Title","Year","Type","Source Title","Volume","Issue","Pages","Authors","Citations","DOI","Scopus URL","EID"
"“Fingers which mean นิ้ว นิ้วแบบนิ้วมือ”: Pre-service EFL teachers’ translanguaging beliefs and practices in Thai language-driven CLIL classrooms","2024","Journal","Journal of Immersion and Content Based Language Education","12","1","pp. 25–48","Tachaiyaphum N., Gurney L., Daly N.","0","10.1075/jicb.23008.tac","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85187948654&origin=inward","2-s2.0-85187948654"
"‘Definitions did not effectively help my students’: Pre-service teachers’ language modification strategies in Thai language-driven CLIL classrooms","2023","Journal","Language Teaching Research","","","","Tachaiyaphum N., Gurney L., Daly N.","1","10.1177/13621688231201804","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85173503966&origin=inward","2-s2.0-85173503966"
"The global pandemic and a shift in research methods: Applying digital-based methods to educational research in applied linguistics","2022","Journal","Waikato Journal of Education","27","2","pp. 59–64","Tachaiyaphum N.","2","10.15663/wje.v27i2.921","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85137657082&origin=inward","2-s2.0-85137657082"
