"นักวิจัย","คณะ","ภาควิชา","Scopus ID","Scopus URL","ORCID","Documents","Citations","Cited Docs","h-index"
"อารยา ปิยะกุล","คณะศึกษาศาสตร์","ภาควิชาจิตวิทยาการศึกษาและการแนะแนว","57201434084","https://www.scopus.com/authid/detail.uri?authorId=57201434084","0000-0002-7549-678X","6","15","15","3"

"Title","Year","Type","Source Title","Volume","Issue","Pages","Authors","Citations","DOI","Scopus URL","EID"
"Development of teachers’ teaching assessment form according to visible learning theory","2025","Journal","Kasetsart Journal of Social Sciences","46","2","","Chomeya R., Poonputta A., Intasena A., Piyakun A.","0","10.34044/j.kjss.2025.46.2.18","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105014283900&origin=inward","2-s2.0-105014283900"
"The roles of teachers’ beliefs and instructional practices in students’ mathematical mindset","2025","Journal","Frontiers in Education","10","","","Piyakun A., Phusee-Orn S.","1","10.3389/feduc.2025.1480277","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85217855585&origin=inward","2-s2.0-85217855585"
"Teachers’ worklife, mental health, and job burnout: Cases of Thailand and Indonesia","2023","Journal","International Journal of Evaluation and Research in Education","12","3","pp. 1212–1221","Piyakun A., Salim H.","1","10.11591/ijere.v12i3.25077","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85171298044&origin=inward","2-s2.0-85171298044"
"Quality variations of psychometrics for cross-cultural research","2022","Journal","International Journal of Evaluation and Research in Education","11","2","pp. 681–686","Chomeya R., Piyakun A.","0","10.11591/ijere.v11i2.22678","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85133207053&origin=inward","2-s2.0-85133207053"
"Students’ self-directed learning behavior: Cross cultural research (Thailand and Australia)","2022","Journal","Kasetsart Journal of Social Sciences","43","2","pp. 279–284","Chomeya R., Phansri G., Piyakun A.","3","10.34044/j.kjss.2022.43.2.03","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85132677700&origin=inward","2-s2.0-85132677700"
"Foreign literacy practices and learning skills among Indonesian and Thai students of graduate education studies","2019","Journal","Kasetsart Journal of Social Sciences","40","2","pp. 333–340","Setiadi R., Piyakun A.","2","10.1016/j.kjss.2017.12.006","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85044764263&origin=inward","2-s2.0-85044764263"
