"นักวิจัย","คณะ","ภาควิชา","ช่วงเวลา"
"ทั้งหมดตามตัวกรอง","คณะศึกษาศาสตร์","- เลือกทุกภาควิชา -","ทั้งหมด"

"No.","Firstname (EN)","Lastname (EN)","ชื่อ-สกุล (TH)","ภาควิชา","Documents","Citations","h-index","Scopus ID","Scopus URL","Last Scopus Fetch"
"27","NUTTHIDA ","TACHAIYAPHUM","ณัฐธิดา ตาชัยภูมิ","ภาควิชาหลักสูตรและการสอน","3","3","2","57884494800","https://www.scopus.com/authid/detail.uri?authorId=57884494800","2026-08-31 02:48:14"
"28","THAPANEE ","SEECHALIAO","ฐาปนี สีเฉลียว","ภาควิชาเทคโนโลยีและสื่อสารการศึกษา","3","2","1","54585921300","https://www.scopus.com/authid/detail.uri?authorId=54585921300","2026-08-31 02:45:45"
"29","NAPATSAWAN ","THANAPHONGANAN","ณภัสวรรณ ธนาพงษ์อนันท์","ภาควิชาวิทยาศาสตร์สุขภาพและการกีฬา","3","1","1","57164833800","https://www.scopus.com/authid/detail.uri?authorId=57164833800","2026-08-31 02:47:02"
"30","PRASERT ","RUANNAKRN","ประเสริฐ เรือนนะการ","ภาควิชาวิจัยและพัฒนาการศึกษา","3","0","1","58968802800","https://www.scopus.com/authid/detail.uri?authorId=58968802800","2026-08-31 02:48:57"
"31","SUWAT JULSUWAN","","สุวัฒน์ จุลสุวรรณ์","ภาควิชาการบริหารการศึกษา","2","4","1","46161322600","https://www.scopus.com/authid/detail.uri?authorId=46161322600","2026-08-31 02:46:39"
"32","YANNAPAT","SEEHAMONGKON","ญาณภัทร สีหะมงคล","ภาควิชาวิจัยและพัฒนาการศึกษา","2","1","1","59980567200","https://www.scopus.com/authid/detail.uri?authorId=59980567200","2026-08-31 02:49:08"
"33","THARINTHORN ","NAMWAN","ธรินธร นามวรรณ","ภาควิชาการบริหารการศึกษา","2","1","1","57216756490","https://www.scopus.com/authid/detail.uri?authorId=57216756490","2026-08-31 02:46:29"
"34","SINTHAWA","KHAMDIT","สินธะวา คามดิษฐ์","ภาควิชาหลักสูตรและการสอน","2","1","1","58643441700","https://www.scopus.com/authid/detail.uri?authorId=58643441700","2026-08-31 02:48:25"
"35","MANIT"," ASANOK","มานิตย์ อาษานอก","ภาควิชาเทคโนโลยีและสื่อสารการศึกษา","2","0","0","57433230700","https://www.scopus.com/authid/detail.uri?authorId=57433230700","2026-08-31 02:46:51"
"36","WARAPORN","ERAWAN","วราพร เอราวรรณ์","ภาควิชาวิจัยและพัฒนาการศึกษา","2","0","1","60498154800","https://www.scopus.com/authid/detail.uri?authorId=60498154800","2026-08-31 02:49:19"
