"นักวิจัย","คณะ","ภาควิชา","Scopus ID","Scopus URL","ORCID","Documents","Citations","Cited Docs","h-index"
"สินธะวา คามดิษฐ์","คณะศึกษาศาสตร์","ภาควิชาหลักสูตรและการสอน","58643441700","https://www.scopus.com/authid/detail.uri?authorId=58643441700","","2","1","1","1"

"Title","Year","Type","Source Title","Volume","Issue","Pages","Authors","Citations","DOI","Scopus URL","EID"
"Optimizing the quality of Thai education: A comprehensive examination of the whole school approach","2024","Journal","International Journal of Advanced and Applied Sciences","11","1","pp. 169–177","Khamdit S., Worapun W.","0","10.21833/ijaas.2024.01.020","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85188112089&origin=inward","2-s2.0-85188112089"
"Enhancing Thai students' core learning outcomes: An analysis of the teacher school quality program as an effective inter-organizational collaboration","2023","Journal","International Journal of Advanced and Applied Sciences","10","8","pp. 191–196","Khamdit S., Worapun W.","1","10.21833/ijaas.2023.08.022","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85173939466&origin=inward","2-s2.0-85173939466"
